Parameter	Posterior Mean	Posterior Variance	a_post	b_post
GCA_023889325.1	1.82908e-07	3.34223e-14	1.00099	5.47264e+06
GCA_023892905.1	7.93365e-07	1.45016e-13	4.34042	5.4709e+06
GCA_023893045.1	4.08161e-07	7.45993e-14	2.2332	5.47138e+06
GCA_023893095.1	5.37574e-07	9.82298e-14	2.94193	5.47261e+06
GCA_023893435.1	1.82928e-07	3.34259e-14	1.0011	5.47263e+06
GCA_024582295.1	3.601e-07	6.57984e-14	1.97075	5.47278e+06
GCA_024582355.1	3.60262e-07	6.58279e-14	1.97163	5.47278e+06
GCA_024623465.1	2.48907e-06	4.54816e-13	13.622	5.4727e+06
GCA_024756785.1	1.8295e-07	3.343e-14	1.00122	5.47263e+06
GCA_024756795.1	3.60048e-07	6.57888e-14	1.97046	5.47278e+06
GCA_025572335.1	3.60095e-07	6.57974e-14	1.97072	5.47278e+06
GCA_025572355.1	3.60598e-07	6.58911e-14	1.97342	5.47263e+06
GCA_025572385.1	5.37243e-07	9.81664e-14	2.94021	5.47277e+06
GCA_025572445.1	1.82728e-07	3.33895e-14	1	5.47263e+06
GCA_025572455.1	1.07237e-06	1.96008e-13	5.86696	5.47104e+06
GCA_025572465.1	1.06948e-06	1.95426e-13	5.85282	5.47257e+06
GCA_025572505.1	8.92745e-07	1.63181e-13	4.88409	5.47088e+06
GCA_025572525.1	7.15693e-07	1.30785e-13	3.91647	5.47227e+06
GCA_025572565.1	7.14732e-07	1.30603e-13	3.91141	5.47256e+06
GCA_025572585.1	7.14539e-07	1.3057e-13	3.91028	5.47245e+06
GCA_025572635.1	5.37393e-07	9.81939e-14	2.94103	5.47277e+06
GCA_025762465.1	1.24779e-06	2.28001e-13	6.82886	5.47275e+06
GCA_026153685.1	1.42422e-06	2.60262e-13	7.79368	5.47225e+06
GCA_026153785.1	3.60598e-07	6.58911e-14	1.97342	5.47263e+06
GCA_026153925.1	1.78111e-06	3.25461e-13	9.74727	5.47257e+06
GCA_026153955.1	3.60095e-07	6.57974e-14	1.97072	5.47278e+06
GCA_026154015.1	5.37412e-07	9.82006e-14	2.94104	5.47259e+06
GCA_026154085.1	5.37352e-07	9.81902e-14	2.94069	5.47256e+06
GCA_026156535.1	2.73223e-06	5.01901e-13	14.8736	5.44376e+06
GCA_026161645.1	3.15803e-07	5.77125e-14	1.72808	5.47201e+06
GCA_026161685.1	5.3827e-07	9.83725e-14	2.94528	5.47176e+06
GCA_026161885.1	1.83005e-07	3.34402e-14	1.00152	5.47261e+06
GCA_026161905.1	7.67236e-07	1.40257e-13	4.19695	5.47022e+06
GCA_026161925.1	7.67577e-07	1.40319e-13	4.19881	5.47022e+06
GCA_026162015.1	3.6171e-07	6.61289e-14	1.97847	5.46977e+06
GCA_026162045.1	3.6005e-07	6.57892e-14	1.97047	5.47278e+06
GCA_026162085.1	1.82739e-07	3.3393e-14	1.00002	5.47238e+06
GCA_026162115.1	5.3995e-07	9.87136e-14	2.95346	5.46987e+06
GCA_026162145.1	7.16366e-07	1.30973e-13	3.91821	5.46957e+06
GCA_026163915.1	1.82728e-07	3.33894e-14	1	5.47263e+06
GCA_026163975.1	1.42423e-06	2.6026e-13	7.79384	5.47233e+06
GCA_026164015.1	5.66729e-07	1.03623e-13	3.09951	5.46913e+06
GCA_026164045.1	8.95377e-07	1.63628e-13	4.89952	5.47202e+06
GCA_026164235.1	1.82728e-07	3.33895e-14	1	5.47263e+06
GCA_026164275.1	3.60085e-07	6.57975e-14	1.97061	5.47262e+06
GCA_026164325.1	7.15683e-07	1.30784e-13	3.91639	5.47225e+06
GCA_028225725.1	8.92101e-07	1.63013e-13	4.88211	5.47259e+06
GCA_028226215.1	5.38168e-07	9.83423e-14	2.94507	5.4724e+06
GCA_029457325.1	8.92079e-07	1.63003e-13	4.88213	5.47276e+06
GCA_029457335.1	5.08477e-07	9.29153e-14	2.78263	5.47248e+06
GCA_029457375.1	3.65879e-07	6.68613e-14	2.00217	5.47221e+06
GCA_029523635.1	2.31335e-06	4.22969e-13	12.6524	5.46931e+06
GCA_030282885.1	3.60667e-07	6.59058e-14	1.97374	5.47246e+06
GCA_030730785.1	2.84716e-06	5.20263e-13	15.5812	5.47254e+06
GCA_033110165.1	1.07002e-06	1.95517e-13	5.85595	5.47275e+06
GCA_033110185.1	3.60096e-07	6.57976e-14	1.97073	5.47278e+06
GCA_033110225.1	7.15004e-07	1.30648e-13	3.91305	5.47277e+06
GCA_033110245.1	5.37658e-07	9.82424e-14	2.94248	5.47277e+06
GCA_033110325.1	3.60043e-07	6.57879e-14	1.97043	5.47278e+06
GCA_033110345.1	5.37322e-07	9.81809e-14	2.94064	5.47277e+06
GCA_033110385.1	3.60142e-07	6.58061e-14	1.97098	5.47278e+06
GCA_033110645.1	1.95809e-06	3.57813e-13	10.7154	5.47239e+06
GCA_033110745.1	5.37544e-07	9.82215e-14	2.94186	5.47277e+06
GCA_033110865.1	7.14781e-07	1.30607e-13	3.91183	5.47277e+06
GCA_033111575.1	3.60089e-07	6.57964e-14	1.97069	5.47278e+06
GCA_033111615.1	8.93971e-07	1.63358e-13	4.89223	5.47247e+06
GCA_033111695.1	8.96263e-07	1.64471e-13	4.88407	5.44938e+06
GCA_033111785.1	1.24713e-06	2.27881e-13	6.82524	5.47275e+06
GCA_033111805.1	7.1486e-07	1.30621e-13	3.91226	5.47277e+06
GCA_033111885.1	7.20504e-07	1.32044e-13	3.93147	5.45655e+06
GCA_033112125.1	7.15071e-07	1.3066e-13	3.91342	5.47277e+06
GCA_033112525.1	7.15669e-07	1.30773e-13	3.91659	5.47263e+06
GCA_033112605.1	7.16731e-07	1.30976e-13	3.92213	5.47225e+06
GCA_033112745.1	1.42512e-06	2.60404e-13	7.79933	5.47274e+06
GCA_033113945.1	5.39728e-07	9.89314e-14	2.94453	5.45558e+06
GCA_033113985.1	3.60234e-07	6.58246e-14	1.97143	5.47263e+06
GCA_033114915.1	1.24799e-06	2.28043e-13	6.82974	5.4726e+06
GCA_033115055.1	8.91974e-07	1.62989e-13	4.88141	5.47259e+06
GCA_033115155.1	8.92219e-07	1.63029e-13	4.8829	5.47276e+06
GCA_033115185.1	8.92472e-07	1.63075e-13	4.88429	5.47276e+06
GCA_033116535.1	1.06978e-06	1.95473e-13	5.85463	5.47275e+06
GCA_033116575.1	1.95691e-06	3.57574e-13	10.7096	5.47272e+06
GCA_033116595.1	5.3745e-07	9.82043e-14	2.94134	5.47277e+06
GCA_033116605.1	3.63994e-07	6.65136e-14	1.99195	5.47247e+06
GCA_033116835.1	3.6045e-07	6.58624e-14	1.97267	5.47278e+06
GCA_033116875.1	3.6019e-07	6.58149e-14	1.97124	5.47278e+06
GCA_033117055.1	5.37595e-07	9.82308e-14	2.94214	5.47277e+06
GCA_033117875.1	7.15077e-07	1.30719e-13	3.91171	5.47033e+06
GCA_033118075.1	3.60182e-07	6.58134e-14	1.9712	5.47278e+06
GCA_033118095.1	3.60061e-07	6.57912e-14	1.97053	5.47278e+06
GCA_033118135.1	8.9247e-07	1.63075e-13	4.88428	5.47276e+06
GCA_033118155.1	7.15021e-07	1.30651e-13	3.91315	5.47277e+06
GCA_033118375.1	1.8277e-07	3.33981e-14	1.0002	5.47245e+06
GCA_033118665.1	5.37432e-07	9.82011e-14	2.94124	5.47277e+06
GCA_033119045.1	3.61408e-07	6.6048e-14	1.97759	5.47191e+06
GCA_033119365.1	5.37532e-07	9.82194e-14	2.94179	5.47277e+06
GCA_033119865.1	1.06953e-06	1.95427e-13	5.85325	5.47275e+06
GCA_033120185.1	3.60063e-07	6.57917e-14	1.97055	5.47278e+06
GCA_033120325.1	3.60095e-07	6.57974e-14	1.97072	5.47278e+06
GCA_033120365.1	5.37454e-07	9.82051e-14	2.94136	5.47277e+06
GCA_033120405.1	5.37513e-07	9.82158e-14	2.94168	5.47277e+06
GCA_033120585.1	1.42492e-06	2.60367e-13	7.79823	5.47274e+06
GCA_033124985.1	1.82904e-07	3.34216e-14	1.00097	5.47264e+06
GCA_034082005.1	1.42657e-06	2.60781e-13	7.80393	5.4704e+06
GCA_034082405.1	3.60199e-07	6.58165e-14	1.97129	5.47278e+06
GCA_034361105.1	5.38049e-07	9.83223e-14	2.94437	5.4723e+06
GCA_034361225.1	7.212e-07	1.31797e-13	3.94644	5.47205e+06
GCA_034361365.1	3.60146e-07	6.58067e-14	1.971	5.47278e+06
GCA_034361485.1	7.14949e-07	1.30638e-13	3.91275	5.47277e+06
GCA_034361565.1	7.15961e-07	1.30826e-13	3.91817	5.47261e+06
GCA_034361655.1	3.76385e-07	6.89445e-14	2.05478	5.45925e+06
GCA_034361885.1	1.43095e-06	2.62274e-13	7.80714	5.45592e+06
GCA_034361945.1	3.59998e-07	6.57797e-14	1.97019	5.47278e+06
GCA_034362065.1	3.60317e-07	6.58398e-14	1.97188	5.47263e+06
GCA_034362405.1	3.60032e-07	6.5786e-14	1.97038	5.47278e+06
GCA_034362645.1	3.60408e-07	6.58564e-14	1.97238	5.47263e+06
GCA_034362665.1	1.82727e-07	3.33892e-14	1	5.47264e+06
GCA_034362715.1	1.06954e-06	1.95434e-13	5.85315	5.47261e+06
GCA_034362775.1	8.92668e-07	1.6312e-13	4.88509	5.47247e+06
GCA_034362825.1	5.37486e-07	9.8211e-14	2.94154	5.47277e+06
GCA_034362875.1	5.3789e-07	9.82873e-14	2.94367	5.47263e+06
GCA_034363015.1	7.15314e-07	1.30704e-13	3.91475	5.47277e+06
GCA_034363055.1	3.60352e-07	6.58445e-14	1.97213	5.47278e+06
GCA_034363075.1	3.60361e-07	6.58461e-14	1.97218	5.47278e+06
GCA_034363095.1	7.1505e-07	1.30659e-13	3.9132	5.47262e+06
GCA_034363175.1	5.37722e-07	9.8254e-14	2.94283	5.47277e+06
GCA_034363255.1	1.2481e-06	2.28056e-13	6.83051	5.47275e+06
GCA_034363405.1	7.15485e-07	1.30736e-13	3.91568	5.47277e+06
GCA_034363465.1	3.59965e-07	6.57754e-14	1.96995	5.47263e+06
GCA_034363825.1	1.24859e-06	2.28154e-13	6.83304	5.47259e+06
GCA_034363845.1	1.82727e-07	3.33892e-14	1	5.47264e+06
GCA_034363965.1	3.60182e-07	6.58133e-14	1.9712	5.47278e+06
GCA_034363985.1	3.61127e-07	6.59937e-14	1.97614	5.47215e+06
GCA_034363995.1	5.37333e-07	9.8183e-14	2.9407	5.47277e+06
GCA_034364045.1	1.07014e-06	1.9554e-13	5.85662	5.47275e+06
GCA_034364065.1	3.60066e-07	6.57921e-14	1.97056	5.47278e+06
GCA_034364125.1	7.1524e-07	1.30694e-13	3.91424	5.47262e+06
GCA_034364145.1	5.3729e-07	9.81751e-14	2.94047	5.47277e+06
GCA_034364225.1	3.60152e-07	6.58096e-14	1.97098	5.47263e+06
GCA_034364325.1	5.3736e-07	9.81905e-14	2.94077	5.47263e+06
GCA_034364365.1	5.37927e-07	9.82914e-14	2.94395	5.47277e+06
GCA_034364385.1	5.37905e-07	9.82874e-14	2.94383	5.47277e+06
GCA_034364405.1	5.37658e-07	9.82424e-14	2.94248	5.47277e+06
GCA_034364445.1	7.15174e-07	1.30679e-13	3.91398	5.47277e+06
GCA_034364465.1	3.60422e-07	6.58571e-14	1.97251	5.47278e+06
GCA_034364665.1	7.14987e-07	1.30645e-13	3.91296	5.47277e+06
GCA_034390135.1	1.0701e-06	1.95547e-13	5.8559	5.47232e+06
GCA_034390215.1	1.07274e-06	1.96089e-13	5.86866	5.47069e+06
GCA_034390255.1	1.82728e-07	3.33895e-14	1	5.47262e+06
GCA_034390285.1	5.44241e-07	9.94762e-14	2.97757	5.47106e+06
GCA_034390415.1	9.04038e-07	1.65235e-13	4.94621	5.47124e+06
GCA_034390495.1	1.82938e-07	3.34304e-14	1.00108	5.47222e+06
GCA_034390515.1	8.92739e-07	1.63124e-13	4.88575	5.47276e+06
GCA_034390615.1	7.17399e-07	1.3115e-13	3.92423	5.47008e+06
GCA_034390655.1	7.94093e-07	1.45124e-13	4.34514	5.47183e+06
GCA_034390855.1	8.9279e-07	1.6314e-13	4.88583	5.47254e+06
GCA_034390875.1	8.92237e-07	1.63032e-13	4.883	5.47276e+06
GCA_034390935.1	3.6091e-07	6.59485e-14	1.97512	5.4726e+06
GCA_034390975.1	3.60866e-07	6.59672e-14	1.97407	5.47038e+06
GCA_034390995.1	1.24888e-06	2.28207e-13	6.83462	5.47259e+06
GCA_034391015.1	5.37871e-07	9.82842e-14	2.94356	5.47261e+06
GCA_034391095.1	8.92417e-07	1.63065e-13	4.88398	5.47276e+06
GCA_034391175.1	5.37983e-07	9.83016e-14	2.94426	5.47277e+06
GCA_034391255.1	3.6005e-07	6.57892e-14	1.97047	5.47278e+06
GCA_034391335.1	1.42492e-06	2.60366e-13	7.7982	5.47274e+06
GCA_034391395.1	5.37941e-07	9.82966e-14	2.94395	5.47263e+06
GCA_034391495.1	3.6091e-07	6.59485e-14	1.97512	5.4726e+06
GCA_034391535.1	8.92504e-07	1.63081e-13	4.88446	5.47276e+06
GCA_034391655.1	1.96048e-06	3.58239e-13	10.7288	5.47255e+06
GCA_034391735.1	8.92896e-07	1.63153e-13	4.88661	5.47276e+06
GCA_034391795.1	3.60155e-07	6.58084e-14	1.97105	5.47278e+06
GCA_034391985.1	5.38526e-07	9.84069e-14	2.94705	5.47244e+06
GCA_034393075.1	1.82728e-07	3.33894e-14	1	5.47263e+06
GCA_034393195.1	5.38294e-07	9.8364e-14	2.9458	5.47247e+06
GCA_034393255.1	3.60081e-07	6.57949e-14	1.97064	5.47278e+06
GCA_034393315.1	1.06956e-06	1.95439e-13	5.85328	5.47261e+06
GCA_034393355.1	5.37704e-07	9.82507e-14	2.94273	5.47277e+06
GCA_034393415.1	3.60091e-07	6.57967e-14	1.9707	5.47278e+06
GCA_034393475.1	5.37881e-07	9.8283e-14	2.9437	5.47277e+06
GCA_034393515.1	1.07347e-06	1.96156e-13	5.87464	5.47254e+06
GCA_034393535.1	3.60262e-07	6.58279e-14	1.97163	5.47278e+06
GCA_034394235.1	7.15257e-07	1.3072e-13	3.91365	5.47168e+06
GCA_034394245.1	5.37857e-07	9.82846e-14	2.94339	5.47244e+06
GCA_034395715.1	1.82727e-07	3.33893e-14	1	5.47264e+06
GCA_034395755.1	8.93014e-07	1.63174e-13	4.88725	5.47276e+06
GCA_034396175.1	3.60574e-07	6.58869e-14	1.97328	5.47262e+06
GCA_034396375.1	7.16082e-07	1.30848e-13	3.91883	5.47261e+06
GCA_034396785.1	7.14833e-07	1.30627e-13	3.91179	5.47231e+06
GCA_034396855.1	1.82963e-07	3.34363e-14	1.00118	5.472e+06
GCA_034396875.1	1.07218e-06	1.95995e-13	5.86533	5.47046e+06
GCA_034396935.1	5.37684e-07	9.82532e-14	2.94243	5.47243e+06
GCA_034396995.1	5.37768e-07	9.82796e-14	2.94257	5.47182e+06
GCA_034397095.1	1.82791e-07	3.34106e-14	1.00006	5.47105e+06
GCA_034397135.1	5.95538e-07	1.08863e-13	3.25792	5.47055e+06
GCA_034397155.1	1.07392e-06	1.96311e-13	5.87483	5.47048e+06
GCA_034397215.1	3.60853e-07	6.59576e-14	1.97422	5.47098e+06
GCA_034397955.1	1.9567e-06	3.57536e-13	10.7084	5.47272e+06
GCA_034554935.1	5.37465e-07	9.82099e-14	2.94134	5.47261e+06
GCA_034554955.1	1.11109e-06	2.03479e-13	6.06705	5.46046e+06
GCA_036577405.1	7.15456e-07	1.30748e-13	3.91499	5.47202e+06
GCA_039041665.1	5.37503e-07	9.82141e-14	2.94163	5.47277e+06
GCA_039042515.1	7.15014e-07	1.30649e-13	3.9131	5.47277e+06
GCA_039042995.1	1.36181e-06	2.48863e-13	7.45198	5.47212e+06
GCA_039613155.1	5.38121e-07	9.83425e-14	2.94455	5.47191e+06
GCA_039613175.1	3.60007e-07	6.57813e-14	1.97024	5.47278e+06
GCA_039613185.1	6.80848e-07	1.24417e-13	3.72582	5.47232e+06
GCA_039613215.1	2.97359e-07	5.43385e-14	1.62725	5.47235e+06
GCA_039613225.1	5.37929e-07	9.82948e-14	2.94387	5.47261e+06
GCA_039613255.1	1.82743e-07	3.33937e-14	1.00004	5.47238e+06
GCA_039613315.1	1.57618e-06	2.88043e-13	8.62495	5.47204e+06
GCA_041198025.1	3.5997e-07	6.57746e-14	1.97003	5.47278e+06
GCA_041198155.1	5.37632e-07	9.82375e-14	2.94234	5.47277e+06
GCA_041198275.1	1.82897e-07	3.34203e-14	1.00093	5.47264e+06
GCA_041198315.1	5.37581e-07	9.82283e-14	2.94206	5.47277e+06
GCA_041345885.1	3.60107e-07	6.58025e-14	1.97071	5.47255e+06
GCA_041345905.1	7.14822e-07	1.3062e-13	3.91189	5.47254e+06
GCA_041345935.1	1.24679e-06	2.27828e-13	6.82309	5.47252e+06
GCA_041346085.1	7.22155e-07	1.32046e-13	3.94945	5.46897e+06
GCA_041346125.1	4.73263e-07	8.64833e-14	2.58984	5.47231e+06
GCA_041346165.1	5.3758e-07	9.82311e-14	2.94196	5.47261e+06
GCA_041346185.1	1.84599e-07	3.37323e-14	1.01021	5.47248e+06
GCA_041346245.1	7.15315e-07	1.3073e-13	3.91398	5.47168e+06
GCA_041346305.1	2.13452e-06	3.9005e-13	11.681	5.47241e+06
GCA_041346425.1	3.60401e-07	6.58691e-14	1.97193	5.47147e+06
GCA_041346545.1	5.3734e-07	9.81841e-14	2.94074	5.47277e+06
GCA_041346585.1	1.83005e-07	3.34403e-14	1.00152	5.47261e+06
GCA_041346625.1	5.37236e-07	9.81652e-14	2.94017	5.47277e+06
GCA_041346645.1	1.83173e-07	3.3472e-14	1.0024	5.47241e+06
GCA_041346735.1	3.61721e-07	6.61116e-14	1.97911	5.47137e+06
GCA_041346755.1	1.82738e-07	3.33927e-14	1.00002	5.47241e+06
GCA_041346855.1	3.60061e-07	6.57957e-14	1.9704	5.47241e+06
GCA_041385495.1	7.14872e-07	1.30624e-13	3.91233	5.47277e+06
GCA_041385565.1	8.92417e-07	1.63065e-13	4.88398	5.47276e+06
GCA_041385705.1	5.37425e-07	9.81998e-14	2.94121	5.47277e+06
GCA_041385715.1	7.15067e-07	1.30659e-13	3.91339	5.47277e+06
GCA_041385805.1	5.37587e-07	9.82294e-14	2.94209	5.47277e+06
GCA_041385825.1	3.6013e-07	6.58039e-14	1.97091	5.47278e+06
GCA_041385835.1	8.92439e-07	1.63069e-13	4.8841	5.47276e+06
GCA_041385875.1	1.82953e-07	3.34306e-14	1.00123	5.47263e+06
GCA_041385925.1	5.3737e-07	9.81897e-14	2.9409	5.47277e+06
GCA_041385955.1	3.60048e-07	6.57888e-14	1.97046	5.47278e+06
GCA_041385965.1	8.92418e-07	1.63065e-13	4.88399	5.47276e+06
GCA_041386005.1	3.60155e-07	6.58126e-14	1.97092	5.47243e+06
GCA_041386235.1	5.37617e-07	9.82348e-14	2.94225	5.47277e+06
GCA_041386275.1	5.3843e-07	9.83863e-14	2.94662	5.47261e+06
GCA_041388025.1	1.06986e-06	1.95489e-13	5.8551	5.47275e+06
GCA_041388195.1	3.60117e-07	6.58016e-14	1.97084	5.47278e+06
GCA_041388315.1	8.92713e-07	1.63119e-13	4.8856	5.47276e+06
GCA_041388375.1	1.06979e-06	1.95475e-13	5.85469	5.47275e+06
GCA_041388415.1	1.06952e-06	1.95427e-13	5.85325	5.47275e+06
GCA_041388435.1	1.86443e-06	3.40723e-13	10.2021	5.47196e+06
GCA_041388455.1	2.35664e-06	4.30643e-13	12.8965	5.47238e+06
GCA_041388475.1	7.55622e-07	1.38083e-13	4.13493	5.47221e+06
GCA_041388535.1	1.60407e-06	2.9311e-13	8.77839	5.47258e+06
GCA_041388605.1	1.07153e-06	1.95799e-13	5.86402	5.47259e+06
GCA_041388625.1	1.06923e-06	1.9539e-13	5.85107	5.47225e+06
GCA_041388665.1	1.2477e-06	2.27984e-13	6.82835	5.47275e+06
GCA_041388685.1	5.37785e-07	9.82685e-14	2.94309	5.47261e+06
GCA_041388705.1	7.20136e-07	1.31619e-13	3.94013	5.47137e+06
GCA_041388725.1	8.92988e-07	1.6319e-13	4.8865	5.47208e+06
GCA_041388735.1	2.13786e-06	3.90691e-13	11.6984	5.47201e+06
GCA_041388785.1	1.32612e-06	2.42345e-13	7.2566	5.47205e+06
GCA_041388965.1	5.37602e-07	9.82348e-14	2.9421	5.47263e+06
GCA_041730255.1	1.42463e-06	2.60314e-13	7.79665	5.47274e+06
GCA_042973135.1	1.83469e-07	3.35446e-14	1.00347	5.46942e+06
GCA_042973165.1	7.14928e-07	1.30641e-13	3.91241	5.47245e+06
GCA_042973255.1	3.60078e-07	6.57943e-14	1.97063	5.47278e+06
GCA_043359875.1	1.8872e-06	3.44906e-13	10.3261	5.47163e+06
GCA_044429155.1	1.06979e-06	1.95475e-13	5.85468	5.47275e+06
GCA_044429355.1	5.3743e-07	9.82064e-14	2.94106	5.47245e+06
GCA_044429485.1	3.602e-07	6.58185e-14	1.97124	5.47262e+06
GCA_044429785.1	3.61608e-07	6.60883e-14	1.97857	5.47159e+06
GCA_044429805.1	1.77961e-06	3.25187e-13	9.73904	5.47257e+06
GCA_044430025.1	5.3813e-07	9.83314e-14	2.94498	5.47262e+06
GCA_044430105.1	7.15606e-07	1.30761e-13	3.91624	5.47262e+06
GCA_044951825.1	3.60185e-07	6.58138e-14	1.97121	5.47278e+06
GCA_045154515.1	3.60069e-07	6.57928e-14	1.97058	5.47278e+06
GCA_045181045.1	5.37698e-07	9.82497e-14	2.9427	5.47277e+06
GCA_045181075.1	3.60251e-07	6.5826e-14	1.97158	5.47278e+06
GCA_045181125.1	5.37741e-07	9.83038e-14	2.94155	5.47019e+06
GCA_045181185.1	3.60069e-07	6.57928e-14	1.97058	5.47278e+06
GCA_045181225.1	3.60091e-07	6.57967e-14	1.9707	5.47278e+06
GCA_045181245.1	3.60206e-07	6.58178e-14	1.97133	5.47278e+06
GCA_045181265.1	3.60208e-07	6.58181e-14	1.97134	5.47278e+06
GCA_045181365.1	5.37568e-07	9.82259e-14	2.94199	5.47277e+06
GCA_045181385.1	8.92096e-07	1.63007e-13	4.88223	5.47276e+06
GCA_045181425.1	5.37388e-07	9.81929e-14	2.941	5.47277e+06
GCA_045181445.1	3.60457e-07	6.58654e-14	1.97265	5.47263e+06
GCA_045181675.1	1.83672e-07	3.36185e-14	1.00348	5.46342e+06
GCA_045181775.1	3.60069e-07	6.57928e-14	1.97058	5.47278e+06
GCA_045181795.1	1.82903e-07	3.34213e-14	1.00096	5.47264e+06
GCA_045181935.1	7.15078e-07	1.30661e-13	3.91345	5.47277e+06
GCA_045182045.1	5.37708e-07	9.82639e-14	2.94239	5.47208e+06
GCA_046196535.1	3.60095e-07	6.57975e-14	1.97072	5.47278e+06
GCA_046196575.1	5.37617e-07	9.82349e-14	2.94226	5.47277e+06
GCA_046254915.1	5.37394e-07	9.81941e-14	2.94104	5.47277e+06
GD3266	3.60251e-07	6.5826e-14	1.97158	5.47278e+06
GD3676	3.61954e-07	6.61402e-14	1.9808	5.47252e+06
GD3807	3.6001e-07	6.5782e-14	1.97026	5.47278e+06
GD3830	3.60082e-07	6.57951e-14	1.97065	5.47278e+06
GD3874	3.61534e-07	6.60631e-14	1.97852	5.47256e+06
GD3918	3.60169e-07	6.58111e-14	1.97113	5.47278e+06
GD3928	3.60251e-07	6.5826e-14	1.97158	5.47278e+06
GD3930	5.37559e-07	9.82243e-14	2.94194	5.47277e+06
GD3934	5.40544e-07	9.87744e-14	2.95813	5.47251e+06
GD3974	5.37539e-07	9.82206e-14	2.94183	5.47277e+06
GD3979	1.83674e-07	3.35629e-14	1.00516	5.47252e+06
GD4039	1.83663e-07	3.36146e-14	1.0035	5.46379e+06
GD4157	3.60251e-07	6.5826e-14	1.97158	5.47278e+06
GD4210	3.60251e-07	6.5826e-14	1.97158	5.47278e+06
GD4223	5.37549e-07	9.82224e-14	2.94188	5.47277e+06
GD4239	7.15089e-07	1.30663e-13	3.91352	5.47277e+06
GD5050	5.37518e-07	9.82168e-14	2.94171	5.47277e+06
GD5205	3.60251e-07	6.5826e-14	1.97158	5.47278e+06
GD5233	3.60581e-07	6.5888e-14	1.97333	5.47263e+06
Reference	1.78131e-06	3.25496e-13	9.74835	5.47259e+06
NODE_839	1.77964e-06	3.25184e-13	9.73949	5.47273e+06
NODE_840	1.82728e-07	3.33894e-14	1	5.47263e+06
NODE_843	2.8463e-06	5.20106e-13	15.5765	5.47254e+06
NODE_844	1.7794e-06	3.25139e-13	9.73815	5.47273e+06
NODE_845	1.78072e-06	3.25405e-13	9.74468	5.47232e+06
NODE_846	8.95591e-07	1.64132e-13	4.88683	5.45655e+06
NODE_847	1.41054e-06	2.58089e-13	7.70911	5.46534e+06
NODE_849	7.19148e-07	1.31411e-13	3.93554	5.4725e+06
NODE_851	3.6001e-07	6.5782e-14	1.97026	5.47278e+06
NODE_854	3.60251e-07	6.5826e-14	1.97158	5.47278e+06
NODE_857	3.60176e-07	6.58311e-14	1.9706	5.47121e+06
NODE_858	1.83407e-07	3.35241e-14	1.0034	5.47091e+06
NODE_860	2.10752e-07	3.85274e-14	1.15285	5.47017e+06
NODE_861	1.01572e-06	1.85837e-13	5.55152	5.46563e+06
NODE_862	7.15443e-07	1.30728e-13	3.91545	5.47277e+06
NODE_863	3.59999e-07	6.57829e-14	1.97011	5.47254e+06
NODE_864	3.60031e-07	6.57858e-14	1.97037	5.47278e+06
NODE_865	3.60065e-07	6.5792e-14	1.97056	5.47278e+06
NODE_866	3.60053e-07	6.57897e-14	1.97049	5.47278e+06
NODE_868	1.0693e-06	1.95386e-13	5.852	5.47275e+06
NODE_871	5.37611e-07	9.82337e-14	2.94222	5.47277e+06
NODE_872	7.16517e-07	1.31107e-13	3.91585	5.46512e+06
NODE_873	5.37886e-07	9.82996e-14	2.94326	5.47191e+06
NODE_874	6.81078e-07	1.24459e-13	3.72708	5.47232e+06
NODE_875	3.60303e-07	6.58354e-14	1.97186	5.47278e+06
NODE_876	7.17789e-07	1.31251e-13	3.92547	5.46883e+06
NODE_877	5.37429e-07	9.82005e-14	2.94123	5.47277e+06
NODE_878	7.14993e-07	1.30646e-13	3.91299	5.47277e+06
NODE_879	1.82747e-07	3.33951e-14	1.00004	5.47227e+06
NODE_880	7.49841e-07	1.37176e-13	4.09883	5.46626e+06
NODE_881	1.95735e-06	3.57656e-13	10.712	5.47272e+06
NODE_882	3.60186e-07	6.58141e-14	1.97122	5.47278e+06
NODE_883	1.07589e-06	1.96728e-13	5.88392	5.46891e+06
NODE_885	1.07062e-06	1.95628e-13	5.85925	5.47275e+06
NODE_886	1.24689e-06	2.27837e-13	6.82393	5.47275e+06
NODE_887	3.6023e-07	6.58222e-14	1.97146	5.47278e+06
NODE_889	3.6023e-07	6.58222e-14	1.97146	5.47278e+06
NODE_891	3.6018e-07	6.58129e-14	1.97118	5.47278e+06
NODE_892	1.06994e-06	1.95504e-13	5.85554	5.47275e+06
NODE_893	5.37657e-07	9.82421e-14	2.94247	5.47277e+06
NODE_894	3.60307e-07	6.5838e-14	1.97183	5.47263e+06
NODE_896	8.92243e-07	1.63033e-13	4.88303	5.47276e+06
NODE_897	1.06984e-06	1.95485e-13	5.85497	5.47275e+06
NODE_899	5.37373e-07	9.81903e-14	2.94092	5.47277e+06
NODE_900	1.06999e-06	1.95511e-13	5.85577	5.47275e+06
NODE_901	1.06945e-06	1.95463e-13	5.85139	5.47138e+06
NODE_902	5.37992e-07	9.83061e-14	2.94423	5.47262e+06
NODE_903	3.60369e-07	6.58475e-14	1.97222	5.47278e+06
NODE_905	7.15177e-07	1.30679e-13	3.914	5.47277e+06
NODE_906	5.3755e-07	9.82255e-14	2.94181	5.47262e+06
NODE_907	7.15191e-07	1.30682e-13	3.91407	5.47277e+06
